start_time	channel_number	read_number	template_events	complement_events
1480022030	207	253	0	0
1480018255	431	38	0	0
1480017802	359	7	0	0
1480019288	198	103	0	0
1480023239	240	272	0	0
1480020662	191	146	0	0
1480017880	491	8	0	0
1480019734	137	110	0	0
1480018549	70	30	0	0
1480017808	147	8	0	0
1480019662	97	90	0	0
1480020323	415	162	0	0
1480019997	51	121	0	0
1480019192	172	54	0	0
1480018007	76	12	0	0
1480023280	94	304	0	0
1480022763	219	273	0	0
1480019965	137	117	0	0
1480024501	291	38335	0	0
1480022973	299	242	0	0
1480019647	464	86	0	0
1480019026	30	69	0	0
1480020281	351	141	0	0
1480022236	147	228	0	0
1480018606	476	51	0	0
1480020863	197	175	0	0
1480020475	465	93	0	0
1480018816	397	69	0	0
1480018677	357	39	0	0
1480020845	250	140	0	0
1480022703	391	206	0	0
1480018973	307	79	0	0
1480021116	306	185	0	0
1480020574	220	150	0	0
1480018737	485	51	0	0
1480018589	41	51	0	0
1480018154	243	29	0	0
1480019173	270	81	0	0
1480021558	333	174	0	0
1480018459	351	49	0	0
1480020394	333	121	0	0
1480018570	312	61	0	0
1480019201	207	64	0	0
1480022604	68	250	0	0
1480024231	442	353	0	0
1480021356	68	205	0	0
1480020916	294	123	0	0
1480020759	124	181	0	0
1480022932	292	238	0	0
1480018629	128	69	0	0
1480022838	488	282	0	0
1480019889	286	101	0	0
1480020922	482	163	0	0
1480020106	157	92	0	0
1480020325	5	134	0	0
1480018124	240	18	0	0
1480020045	352	120	0	0
1480019493	36	113	0	0
1480021356	396	144	0	0
1480018852	255	52	0	0
1480024772	207	363	0	0
1480017883	157	8	0	0
1480018643	310	42	0	0
1480022879	70	204	0	0
1480017942	8	9	0	0
1480018687	480	42	0	0
1480018817	204	52	0	0
1480021382	504	139	0	0
1480018179	20	30	0	0
1480020830	261	150	0	0
1480021681	171	215	0	0
1480021952	219	234	0	0
1480023918	306	330	0	0
1480019769	271	118	0	0
1480022767	444	250	0	0
1480021425	207	213	0	0
1480023848	344	304	0	0
1480017978	423	7	0	0
1480019884	36	141	0	0
1480024054	326	241	0	0
1480023006	1	210	0	0
1480020099	488	147	0	0
1480019249	475	67	0	0
1480023876	461	334	0	0
1480019523	181	149	0	0
1480017775	380	4	0	0
1480024044	470	263	0	0
1480021071	374	163	0	0
1480018908	308	61	0	0
1480021276	308	189	0	0
1480019203	351	80	0	0
1480017970	198	22	0	0
1480019751	482	100	0	0
1480021384	383	215	0	0
1480018379	421	17	0	0
1480018121	201	25	0	0
1480018299	315	35	0	0
1480018764	414	30	0	0
1480019318	208	84	0	0
1480020891	359	203	0	0
1480021952	88	175	0	0
1480024557	122	389	0	0
1480018531	326	37	0	0
1480017834	507	10	0	0
1480019048	408	89	0	0
1480020759	482	152	0	0
1480018695	121	53	0	0
1480018922	463	78	0	0
1480019711	145	74	0	0
1480019392	234	50	0	0
1480023153	501	220	0	0
1480018070	333	28	0	0
1480024334	482	318	0	0
1480018720	292	51	0	0
1480019239	417	54	0	0
1480021165	315	165	0	0
1480020859	305	180	0	0
1480018490	260	44	0	0
1480017802	260	11	0	0
1480021751	97	159	0	0
1480023827	482	290	0	0
1480019368	248	122	0	0
1480019701	295	66	0	0
1480021952	461	227	0	0
1480022550	239	256	0	0
1480018426	172	22	0	0
1480023677	431	264	0	0
1480024204	497	298	0	0
1480018788	292	56	0	0
1480021010	191	162	0	0
1480022519	444	234	0	0
1480020671	137	161	0	0
1480021742	327	113	0	0
1480017806	117	10	0	0
1480023870	103	383	0	0
1480018856	174	55	0	0
1480021037	264	173	0	0
1480023104	143	252	0	0
1480018816	238	48	0	0
1480022579	177	192	0	0
1480024106	83	267	0	0
1480019102	315	72	0	0
1480020304	463	165	0	0
1480021547	368	191	0	0
1480023355	146	197	0	0
1480017895	363	8	0	0
1480021413	32	183	0	0
1480024462	216	356	0	0
1480021952	68	221	0	0
1480019662	314	98	0	0
1480019021	259	69	0	0
1480020429	344	138	0	0
1480019764	508	86	0	0
1480021390	180	161	0	0
1480018745	412	55	0	0
1480020472	35	151	0	0
1480018109	164	19	0	0
1480021479	450	222	0	0
1480019545	426	98	0	0
1480019229	490	92	0	0
1480021107	361	179	0	0
1480019817	408	140	0	0
1480020108	482	115	0	0
1480019184	445	70	0	0
1480020679	263	289	0	0
1480021058	111	154	0	0
1480021285	437	202	0	0
1480018273	158	32	0	0
1480018125	399	24	0	0
1480019120	398	64	0	0
1480018630	271	48	0	0
1480020205	106	163	0	0
1480023605	314	241	0	0
1480018053	374	13	0	0
1480018618	374	46	0	0
1480020879	102	128	0	0
1480017789	324	6	0	0
1480023501	75	267	0	0
1480023525	195	201	0	0
1480020414	305	138	0	0
1480018378	480	34	0	0
1480021711	337	149	0	0
1480017830	147	10	0	0
1480020239	125	103	0	0
1480018751	317	56	0	0
1480020920	54	157	0	0
1480017982	34	19	0	0
1480018200	347	16	0	0
1480023447	438	311	0	0
1480021371	261	174	0	0
1480024112	272	235	0	0
1480019813	237	73	0	0
1480018094	219	22	0	0
1480020403	447	182	0	0
1480019145	405	96	0	0
1480020262	198	160	0	0
1480018549	99	37	0	0
1480020417	216	149	0	0
1480022189	512	249	0	0
1480020246	90	161	0	0
1480019523	210	83	0	0
1480019188	76	76	0	0
1480019342	197	96	0	0
1480020788	478	127	0	0
1480021952	478	172	0	0
1480019577	165	83	0	0
1480024267	162	297	0	0
1480020759	414	128	0	0
1480021990	41	240	0	0
1480022044	478	175	0	0
1480018549	306	38	0	0
1480021958	241	238	0	0
1480024274	280	394	0	0
1480021377	491	224	0	0
1480018438	309	44	0	0
1480018040	142	21	0	0
1480021952	114	131	0	0
1480021816	464	195	0	0
1480021652	444	193	0	0
1480018834	177	53	0	0
1480017912	173	7	0	0
1480023371	74	249	0	0
1480019899	197	121	0	0
1480020133	3	114	0	0
1480019699	382	77	0	0
1480018809	477	45	0	0
1480021952	471	258	0	0
1480019569	248	140	0	0
1480019841	107	118	0	0
1480017833	5	8	0	0
1480020011	76	119	0	0
1480019630	218	103	0	0
1480024607	510	253	0	0
1480022336	182	213	0	0
1480021381	62	220	0	0
1480018994	216	83	0	0
1480018690	148	49	0	0
1480022977	174	253	0	0
1480018327	424	33	0	0
1480018733	155	48	0	0
1480024652	171	364	0	0
1480017861	139	9	0	0
1480021075	5	167	0	0
1480022124	328	228	0	0
1480018184	469	27	0	0
1480022652	308	284	0	0
1480020639	236	138	0	0
1480017814	349	6	0	0
1480019756	292	99	0	0
1480021507	358	238	0	0
1480021356	207	212	0	0
1480021964	207	247	0	0
1480019862	481	104	0	0
1480018525	348	48	0	0
1480020526	453	84	0	0
1480021650	289	136	0	0
1480017814	447	9	0	0
1480022350	182	214	0	0
1480021966	213	186	0	0
1480019599	293	74	0	0
1480018249	147	32	0	0
1480019431	198	110	0	0
1480022936	434	246	0	0
1480018481	355	49	0	0
1480017842	101	5	0	0
1480019286	271	87	0	0
1480019868	103	146	0	0
1480019937	168	131	0	0
1480023326	355	301	0	0
1480020416	31	97	0	0
1480019290	256	77	0	0
1480021459	492	195	0	0
1480018481	1	45	0	0
1480019278	22	55	0	0
1480019652	351	100	0	0
1480020165	35	133	0	0
1480024677	147	296	0	0
1480021126	505	174	0	0
1480020336	220	144	0	0
1480022620	508	212	0	0
1480019183	106	81	0	0
1480020192	50	186	0	0
1480023757	198	348	0	0
1480020420	411	128	0	0
1480023740	359	356	0	0
1480024369	278	273	0	0
1480023948	204	233	0	0
1480017866	74	8	0	0
1480018484	179	28	0	0
1480018175	121	23	0	0
1480022960	488	296	0	0
1480018306	74	30	0	0
1480019871	255	113	0	0
1480020476	32	119	0	0
1480018973	397	85	0	0
1480019516	160	82	0	0
1480020495	54	135	0	0
1480018407	248	47	0	0
1480019326	42	74	0	0
1480023084	497	245	0	0
1480021546	189	283	0	0
1480018613	219	47	0	0
1480020220	315	140	0	0
1480023274	480	272	0	0
1480024072	353	320	0	0
1480022631	444	243	0	0
1480022344	132	156	0	0
1480023620	485	298	0	0
1480018071	325	24	0	0
1480019569	261	111	0	0
1480018001	448	18	0	0
1480022340	460	199	0	0
1480020909	50	243	0	0
1480019457	492	81	0	0
1480022969	83	210	0	0
1480024279	111	329	0	0
1480021009	477	151	0	0
1480018132	331	29	0	0
1480018207	292	26	0	0
1480022954	464	242	0	0
1480024244	374	284	0	0
1480021135	9	177	0	0
1480022844	59	323	0	0
1480020217	198	157	0	0
1480019420	349	101	0	0
1480022463	306	253	0	0
1480022323	507	271	0	0
1480019476	291	9313	0	0
1480018394	14	44	0	0
1480024398	481	392	0	0
1480019876	390	84	0	0
1480018824	191	68	0	0
1480018851	229	42	0	0
1480018115	501	21	0	0
1480019908	408	141	0	0
1480019253	344	74	0	0
1480019983	363	112	0	0
1480017823	170	6	0	0
1480020312	93	153	0	0
1480023740	150	268	0	0
1480020466	131	101	0	0
1480021199	485	194	0	0
1480024250	122	362	0	0
1480021521	240	187	0	0
1480024140	213	235	0	0
1480018888	229	45	0	0
1480023740	349	328	0	0
1480020759	250	137	0	0
1480018672	432	39	0	0
1480017875	420	11	0	0
1480019059	299	38	0	0
1480018973	251	76	0	0
1480018636	59	66	0	0
1480019102	105	81	0	0
1480020811	289	99	0	0
1480023260	133	402	0	0
1480018442	187	46	0	0
1480024631	255	397	0	0
1480023477	124	344	0	0
1480019056	305	78	0	0
1480020790	491	190	0	0
1480020243	125	105	0	0
1480018973	486	45	0	0
1480020002	54	104	0	0
1480018095	374	15	0	0
1480020979	211	130	0	0
1480024774	106	385	0	0
1480018633	260	50	0	0
1480018338	254	37	0	0
1480019965	466	78	0	0
1480020023	238	126	0	0
1480020828	292	175	0	0
1480022014	480	211	0	0
1480018525	461	48	0	0
1480024292	20	347	0	0
1480019246	355	95	0	0
1480023522	118	278	0	0
1480017984	122	23	0	0
1480022712	431	225	0	0
1480018637	347	42	0	0
1480017938	292	17	0	0
1480023024	399	238	0	0
1480020520	147	130	0	0
1480021985	369	136	0	0
1480019926	241	121	0	0
1480022166	107	196	0	0
1480017775	471	4	0	0
1480023388	461	311	0	0
1480017822	235	9	0	0
1480019211	111	73	0	0
1480018644	239	49	0	0
1480018973	14	75	0	0
1480019447	341	60	0	0
1480021115	305	193	0	0
1480018734	56	48	0	0
1480022248	286	164	0	0
1480017861	262	7	0	0
1480018676	121	52	0	0
1480021873	184	203	0	0
1480019055	40	73	0	0
1480020383	250	122	0	0
1480023873	442	336	0	0
1480018817	114	20	0	0
1480018297	315	33	0	0
1480018931	135	58	0	0
1480018854	291	5004	0	0
1480019194	351	79	0	0
1480018537	507	44	0	0
1480018235	498	32	0	0
1480021053	308	170	0	0
1480019690	145	72	0	0
1480018932	463	81	0	0
1480018515	235	43	0	0
1480019333	208	85	0	0
1480020694	507	168	0	0
1480020469	55	148	0	0
1480021694	238	209	0	0
1480019736	19	114	0	0
1480018002	263	21	0	0
1480022310	412	205	0	0
1480019686	103	137	0	0
1480019792	9	80	0	0
1480017910	206	13	0	0
1480020941	301	167	0	0
1480023900	14	305	0	0
1480019701	148	87	0	0
1480020205	292	132	0	0
1480022202	261	198	0	0
1480017775	171	4	0	0
1480024341	195	240	0	0
1480023454	482	269	0	0
1480022077	102	196	0	0
1480020453	99	137	0	0
1480024023	464	299	0	0
1480019679	357	102	0	0
1480020975	358	209	0	0
1480020084	450	159	0	0
1480020277	498	138	0	0
1480018492	172	23	0	0
1480018937	138	55	0	0
1480020427	90	172	0	0
1480023007	29	317	0	0
1480023997	505	292	0	0
1480018643	289	21	0	0
1480018541	139	40	0	0
1480018736	225	48	0	0
1480023176	507	322	0	0
1480017890	253	12	0	0
1480019500	118	95	0	0
1480017995	192	19	0	0
1480018124	381	22	0	0
1480021434	238	199	0	0
1480019703	32	82	0	0
1480020629	325	178	0	0
1480024578	326	276	0	0
1480018973	255	62	0	0
1480019569	348	86	0	0
1480017942	175	13	0	0
1480020793	175	153	0	0
1480021550	498	195	0	0
1480019336	305	92	0	0
1480020403	36	176	0	0
1480019192	372	77	0	0
1480021230	442	183	0	0
1480021493	213	148	0	0
1480017775	344	4	0	0
1480020816	319	107	0	0
1480019686	170	120	0	0
1480023177	318	313	0	0
1480020431	133	277	0	0
1480020299	403	93	0	0
1480019181	392	79	0	0
1480019865	292	106	0	0
1480023274	32	266	0	0
1480019578	225	84	0	0
1480018502	131	38	0	0
1480018548	405	49	0	0
1480019288	487	71	0	0
1480021791	475	179	0	0
1480018532	160	38	0	0
1480018628	5	53	0	0
1480021952	299	183	0	0
1480021416	211	144	0	0
1480022704	220	291	0	0
1480021335	20	216	0	0
1480017790	299	5	0	0
1480021909	86	215	0	0
1480019429	352	84	0	0
1480022649	463	287	0	0
1480019571	206	126	0	0
1480022054	501	182	0	0
1480022163	465	163	0	0
1480021177	50	253	0	0
1480024111	305	355	0	0
1480019757	506	65	0	0
1480018354	342	25	0	0
1480021479	22	146	0	0
1480022007	182	186	0	0
1480023740	447	342	0	0
1480024239	102	298	0	0
1480023153	317	255	0	0
1480021224	35	189	0	0
1480018973	327	45	0	0
1480022677	400	246	0	0
1480024506	127	351	0	0
1480021252	55	183	0	0
1480018843	162	49	0	0
1480020807	124	182	0	0
1480024073	501	247	0	0
